participant_id,age,gender,education_level,personality_trait,interest
143,75+,Male,College,Analytical,Technology
144,75+,Female,Graduate school,Creative,Music
145,45-54,Female,College,Creative,Sports
146,35-44,Female,College,Creative,Art
147,55-64,Male,Graduate school,Creative,Art
148,65-74,Female,High school,Creative,Science
149,35-44,Male,College,Reserved,Music
150,35-44,Female,Graduate school,Creative,Music
151,65-74,Male,College,Reliable,Science
152,25-34,Female,College,Reserved,Music
153,18-24,Male,College,Organized,Sports
154,18-24,Male,Graduate school,Analytical,Sports
155,25-34,Female,College,Reserved,Politics
156,18-24,Female,College,Outgoing,Art
157,75+,Female,High school,Analytical,Science
158,55-64,Female,College,Reliable,Sports
159,25-34,Female,Graduate school,Creative,Science
160,25-34,Male,College,Organized,Art
161,35-44,Female,Graduate school,Organized,Art
162,35-44,Male,College,Organized,Technology
163,35-44,Male,High school,Outgoing,Sports
164,35-44,Female,High school,Outgoing,Science
165,25-34,Male,College,Analytical,Sports
166,35-44,Female,College,Reserved,Music
167,65-74,Female,Graduate school,Outgoing,Art
168,45-54,Male,College,Creative,Science
169,65-74,Female,College,Outgoing,Technology
170,65-74,Female,High school,Outgoing,Technology
171,45-54,Female,Graduate school,Creative,Art
172,75+,Female,College,Outgoing,Technology
173,18-24,Female,Graduate school,Outgoing,Technology
174,55-64,Female,College,Outgoing,Technology
175,55-64,Male,High school,Outgoing,Art
176,55-64,Male,Graduate school,Reliable,Sports
177,18-24,Male,College,Organized,Art
178,35-44,Female,College,Reliable,Music
179,18-24,Male,High school,Creative,Music
180,55-64,Male,Graduate school,Reserved,Sports
181,35-44,Male,College,Reserved,Science
182,25-34,Female,Graduate school,Reserved,Art
183,75+,Female,College,Outgoing,Music
184,18-24,Male,Graduate school,Creative,Technology
185,75+,Female,Graduate school,Outgoing,Technology
186,25-34,Female,College,Reliable,Technology
187,25-34,Female,High school,Reserved,Technology
188,55-64,Female,College,Outgoing,Science
189,18-24,Female,High school,Outgoing,Science
190,65-74,Female,High school,Organized,Politics
191,18-24,Female,College,Analytical,Technology
192,45-54,Female,Graduate school,Outgoing,Technology
193,35-44,Female,Graduate school,Creative,Music
194,45-54,Female,College,Outgoing,Science
195,45-54,Male,Graduate school,Organized,Science
196,18-24,Female,Graduate school,Outgoing,Politics
197,55-64,Female,Graduate school,Outgoing,Music
198,75+,Male,Graduate school,Reliable,Technology
199,25-34,Female,College,Organized,Sports
200,18-24,Female,College,Creative,Technology
201,35-44,Male,College,Reliable,Science
202,75+,Female,College,Reliable,Politics
203,55-64,Female,College,Creative,Politics
204,65-74,Female,College,Reserved,Music
205,75+,Male,High school,Reserved,Sports
206,25-34,Female,Graduate school,Creative,Sports
207,45-54,Male,High school,Outgoing,Technology
208,45-54,Male,College,Reserved,Technology
209,55-64,Male,College,Reserved,Science
210,55-64,Female,College,Creative,Technology
211,25-34,Female,Graduate school,Analytical,Sports
212,35-44,Male,College,Reserved,Science
213,25-34,Male,Graduate school,Creative,Science
214,75+,Female,Graduate school,Reliable,Art
215,35-44,Female,College,Reliable,Technology
216,55-64,Female,High school,Creative,Technology
217,25-34,Female,High school,Creative,Politics
218,35-44,Male,College,Creative,Politics
219,35-44,Female,College,Reliable,Politics
220,18-24,Female,Graduate school,Analytical,Science
221,25-34,Female,College,Creative,Music
222,55-64,Male,College,Outgoing,Sports
223,35-44,Female,High school,Creative,Politics
224,75+,Female,High school,Reserved,Music
225,65-74,Female,High school,Reserved,Music
226,18-24,Female,College,Organized,Art
227,55-64,Male,High school,Outgoing,Technology
228,25-34,Male,High school,Creative,Technology
229,18-24,Female,Graduate school,Creative,Technology
230,25-34,Female,College,Outgoing,Politics
231,55-64,Female,College,Outgoing,Art
232,75+,Female,Graduate school,Reserved,Technology
233,25-34,Male,College,Reserved,Science
234,18-24,Female,College,Reliable,Politics
235,75+,Female,College,Outgoing,Technology
236,35-44,Female,High school,Reserved,Politics
237,55-64,Female,College,Organized,Technology
238,35-44,Male,College,Creative,Science
239,45-54,Female,Graduate school,Analytical,Politics
240,45-54,Female,College,Outgoing,Technology
241,18-24,Male,Graduate school,Outgoing,Art
242,18-24,Female,College,Outgoing,Music
243,65-74,Female,High school,Creative,Science
244,55-64,Female,College,Reliable,Technology
245,55-64,Male,High school,Organized,Art
246,18-24,Female,College,Analytical,Technology
247,25-34,Male,Graduate school,Analytical,Science
248,45-54,Female,Graduate school,Reliable,Politics
249,55-64,Female,High school,Reserved,Politics
250,45-54,Male,High school,Reliable,Science
251,25-34,Male,College,Outgoing,Art
252,25-34,Male,High school,Creative,Sports
253,45-54,Male,High school,Outgoing,Science
254,65-74,Female,Graduate school,Organized,Music
255,75+,Male,College,Creative,Music
256,65-74,Male,Graduate school,Reserved,Science
257,18-24,Female,Graduate school,Outgoing,Technology
258,18-24,Male,College,Reserved,Music
259,45-54,Male,High school,Reliable,Science
260,45-54,Male,College,Creative,Science
261,65-74,Female,High school,Creative,Sports
262,35-44,Male,College,Outgoing,Science
263,55-64,Female,Graduate school,Reserved,Music
264,75+,Female,College,Organized,Art
265,45-54,Male,Graduate school,Analytical,Politics
266,18-24,Male,College,Analytical,Music
267,45-54,Male,High school,Reserved,Technology
268,65-74,Male,Graduate school,Outgoing,Sports
269,65-74,Female,College,Reserved,Science
270,45-54,Male,High school,Creative,Music
271,25-34,Female,Graduate school,Outgoing,Sports
272,65-74,Female,College,Organized,Sports
273,45-54,Male,College,Reliable,Politics
274,45-54,Female,College,Organized,Music
275,55-64,Male,College,Outgoing,Sports
276,45-54,Female,Graduate school,Organized,Art
277,25-34,Male,Graduate school,Analytical,Politics
278,65-74,Male,College,Reserved,Science
279,45-54,Male,College,Analytical,Science
280,75+,Male,Graduate school,Creative,Art
281,65-74,Female,Graduate school,Analytical,Art
282,75+,Male,Graduate school,Analytical,Politics
283,75+,Female,Graduate school,Creative,Technology
284,75+,Male,College,Outgoing,Technology
285,75+,Female,Graduate school,Reliable,Art
286,18-24,Female,Graduate school,Reliable,Technology
287,75+,Female,College,Organized,Music
288,25-34,Female,High school,Analytical,Politics
289,75+,Female,Graduate school,Analytical,Art
290,25-34,Female,College,Organized,Politics
291,75+,Female,College,Reserved,Science
292,45-54,Female,College,Organized,Art
293,55-64,Male,College,Organized,Politics
294,18-24,Female,Graduate school,Organized,Technology
295,18-24,Female,Graduate school,Reliable,Technology
296,55-64,Female,College,Creative,Science
297,45-54,Female,Graduate school,Organized,Technology
298,55-64,Female,Graduate school,Outgoing,Music
299,55-64,Male,High school,Outgoing,Technology
300,35-44,Female,College,Organized,Technology
301,35-44,Female,College,Analytical,Technology
302,35-44,Male,High school,Reliable,Art
303,55-64,Female,College,Creative,Art
304,35-44,Male,Graduate school,Analytical,Sports
305,25-34,Male,Graduate school,Analytical,Science
306,55-64,Male,College,Reserved,Science
307,18-24,Male,College,Organized,Science
308,75+,Female,College,Reserved,Sports
309,25-34,Male,College,Reserved,Art
310,65-74,Female,High school,Reserved,Technology
311,65-74,Female,College,Organized,Art
312,45-54,Female,College,Creative,Music
313,25-34,Female,College,Organized,Technology
314,55-64,Male,Graduate school,Creative,Sports
315,35-44,Female,High school,Reliable,Technology
316,65-74,Male,College,Creative,Science
317,25-34,Female,Graduate school,Reserved,Art
318,75+,Female,High school,Outgoing,Art
319,45-54,Female,High school,Creative,Politics
320,45-54,Female,Graduate school,Creative,Science
321,35-44,Male,College,Analytical,Politics
322,18-24,Male,High school,Reliable,Art
323,25-34,Female,Graduate school,Reserved,Music
324,18-24,Male,College,Reliable,Music
325,75+,Female,Graduate school,Reserved,Music
326,25-34,Male,High school,Creative,Sports
327,35-44,Male,Graduate school,Creative,Art
328,25-34,Female,College,Outgoing,Music
329,45-54,Female,Graduate school,Analytical,Science
330,18-24,Female,College,Reserved,Music
331,75+,Male,Graduate school,Reliable,Sports
332,35-44,Female,Graduate school,Analytical,Art
333,35-44,Male,Graduate school,Organized,Science
334,35-44,Female,College,Analytical,Politics
335,18-24,Female,Graduate school,Analytical,Science
336,35-44,Male,Graduate school,Outgoing,Technology
337,35-44,Male,High school,Reserved,Art
338,45-54,Female,High school,Creative,Sports
339,65-74,Male,Graduate school,Creative,Politics
340,35-44,Female,Graduate school,Reliable,Sports
341,25-34,Male,High school,Analytical,Politics
342,55-64,Female,High school,Reserved,Sports
343,35-44,Male,High school,Reliable,Sports
344,18-24,Female,Graduate school,Outgoing,Sports
345,18-24,Male,College,Outgoing,Politics
346,65-74,Male,Graduate school,Organized,Technology
347,25-34,Female,Graduate school,Reliable,Science
348,45-54,Female,College,Reserved,Technology
349,35-44,Female,College,Reliable,Art
350,45-54,Male,Graduate school,Outgoing,Politics
351,55-64,Female,High school,Reserved,Technology
352,75+,Male,College,Reliable,Sports
353,45-54,Female,Graduate school,Outgoing,Art
354,35-44,Female,High school,Organized,Sports
355,35-44,Male,Graduate school,Creative,Technology
356,35-44,Male,High school,Organized,Technology
357,75+,Female,High school,Analytical,Technology
358,25-34,Female,Graduate school,Organized,Technology
359,18-24,Male,Graduate school,Analytical,Music
360,18-24,Female,College,Outgoing,Music
361,45-54,Male,College,Reliable,Music
362,75+,Male,Graduate school,Reliable,Politics
363,55-64,Female,Graduate school,Creative,Technology
364,35-44,Female,Graduate school,Reliable,Science
365,18-24,Male,Graduate school,Reserved,Technology
366,25-34,Female,College,Organized,Politics
367,65-74,Male,College,Outgoing,Science
368,35-44,Female,College,Outgoing,Sports
369,25-34,Male,College,Reserved,Science
370,35-44,Female,College,Analytical,Art
371,18-24,Female,College,Organized,Science
372,25-34,Male,Graduate school,Analytical,Sports
373,75+,Male,College,Creative,Politics
374,18-24,Male,Graduate school,Outgoing,Music
375,35-44,Male,College,Outgoing,Politics
376,18-24,Female,Graduate school,Organized,Politics
377,35-44,Female,High school,Outgoing,Music
378,55-64,Female,High school,Organized,Technology
379,25-34,Male,College,Reliable,Music
380,18-24,Male,High school,Reserved,Science
381,75+,Female,High school,Analytical,Sports
382,55-64,Male,College,Reserved,Sports
383,45-54,Male,High school,Outgoing,Sports
384,35-44,Female,College,Reliable,Sports
385,65-74,Female,Graduate school,Creative,Technology
386,65-74,Male,Graduate school,Analytical,Art
387,45-54,Female,College,Reserved,Technology
388,18-24,Female,Graduate school,Reserved,Music
389,55-64,Male,High school,Reliable,Art
390,18-24,Female,College,Analytical,Politics
391,45-54,Female,High school,Creative,Music
392,18-24,Male,High school,Organized,Technology
393,45-54,Female,Graduate school,Analytical,Art
394,45-54,Female,Graduate school,Outgoing,Sports
395,55-64,Male,Graduate school,Reliable,Sports
396,35-44,Female,Graduate school,Reliable,Technology
397,45-54,Male,High school,Reliable,Music
398,25-34,Male,Graduate school,Outgoing,Politics
399,35-44,Male,College,Reliable,Science
400,35-44,Male,College,Reliable,Sports
401,75+,Male,College,Analytical,Music
402,25-34,Female,Graduate school,Analytical,Music
403,65-74,Male,College,Outgoing,Art
404,65-74,Male,College,Reserved,Technology
405,75+,Female,College,Analytical,Technology
406,25-34,Male,Graduate school,Creative,Music
407,55-64,Male,College,Reliable,Science
408,35-44,Male,Graduate school,Creative,Sports
409,55-64,Male,High school,Outgoing,Music
410,45-54,Female,Graduate school,Reserved,Technology
411,75+,Male,College,Outgoing,Technology
412,45-54,Female,College,Organized,Technology
413,45-54,Female,Graduate school,Creative,Sports
414,75+,Male,High school,Organized,Music
415,75+,Male,Graduate school,Reliable,Art
416,55-64,Female,High school,Organized,Sports
417,25-34,Female,Graduate school,Reliable,Technology
418,45-54,Male,College,Organized,Technology
419,75+,Female,High school,Reserved,Technology
420,25-34,Female,College,Creative,Sports
421,35-44,Female,High school,Outgoing,Science
422,18-24,Male,College,Outgoing,Politics
423,65-74,Male,College,Outgoing,Art
424,55-64,Female,Graduate school,Creative,Music
425,45-54,Female,Graduate school,Analytical,Sports
426,75+,Male,High school,Creative,Music
427,45-54,Male,High school,Analytical,Technology
428,45-54,Female,High school,Creative,Politics
429,25-34,Female,Graduate school,Analytical,Music
430,25-34,Male,High school,Reserved,Technology
431,18-24,Male,College,Outgoing,Art
432,25-34,Male,College,Reliable,Music
433,35-44,Female,Graduate school,Analytical,Science
434,45-54,Male,College,Organized,Music
435,65-74,Male,Graduate school,Reliable,Technology
436,25-34,Female,High school,Outgoing,Art
437,55-64,Female,Graduate school,Reliable,Art
438,45-54,Female,Graduate school,Reserved,Art
439,55-64,Male,College,Creative,Music
440,25-34,Male,College,Organized,Politics
441,25-34,Male,College,Analytical,Sports
442,45-54,Female,Graduate school,Reliable,Sports
443,35-44,Female,College,Outgoing,Sports
444,35-44,Female,College,Reserved,Science
445,25-34,Male,College,Creative,Technology
446,45-54,Female,College,Analytical,Technology
447,55-64,Female,College,Outgoing,Art
448,45-54,Male,Graduate school,Reliable,Sports
449,55-64,Female,High school,Outgoing,Art
450,18-24,Male,High school,Reliable,Sports
451,45-54,Male,Graduate school,Reliable,Music
452,55-64,Female,Graduate school,Reserved,Art
453,25-34,Male,Graduate school,Creative,Art
454,25-34,Male,College,Creative,Art
455,18-24,Female,College,Reserved,Technology
456,55-64,Female,Graduate school,Reliable,Science
457,25-34,Female,College,Organized,Sports
458,45-54,Female,College,Outgoing,Science
459,55-64,Male,Graduate school,Outgoing,Politics
460,35-44,Male,College,Organized,Music
461,45-54,Female,High school,Analytical,Music
462,18-24,Female,College,Reliable,Politics
463,18-24,Male,College,Reserved,Politics
464,25-34,Male,Graduate school,Creative,Sports
465,25-34,Female,High school,Reliable,Sports
466,75+,Female,College,Analytical,Technology
467,35-44,Male,College,Creative,Science
468,65-74,Female,College,Creative,Music
469,75+,Female,High school,Reliable,Art
470,25-34,Female,Graduate school,Analytical,Technology
471,75+,Female,Graduate school,Reliable,Science
472,35-44,Female,College,Creative,Music
473,45-54,Male,College,Outgoing,Art
474,18-24,Female,College,Reserved,Technology
475,75+,Male,High school,Creative,Sports
476,55-64,Female,Graduate school,Reliable,Technology
477,18-24,Male,College,Outgoing,Sports
478,45-54,Female,High school,Creative,Technology
479,45-54,Male,College,Outgoing,Science
480,75+,Female,College,Reliable,Art
481,45-54,Male,College,Reserved,Technology
482,25-34,Female,Graduate school,Organized,Science
483,25-34,Female,High school,Creative,Art
484,18-24,Female,College,Creative,Art
485,18-24,Male,College,Reliable,Sports
486,75+,Male,College,Analytical,Science
487,75+,Male,High school,Organized,Sports
488,18-24,Female,College,Analytical,Art
489,25-34,Female,College,Reserved,Sports
490,65-74,Female,High school,Analytical,Music
491,75+,Female,College,Outgoing,Art
492,45-54,Male,Graduate school,Reliable,Technology
493,55-64,Male,Graduate school,Analytical,Science
494,18-24,Male,Graduate school,Outgoing,Sports
495,25-34,Female,College,Outgoing,Music
496,45-54,Female,College,Outgoing,Art
497,25-34,Male,High school,Creative,Science
498,25-34,Male,College,Outgoing,Politics
499,35-44,Male,College,Creative,Politics
500,35-44,Male,College,Outgoing,Art
501,25-34,Male,College,Organized,Sports
502,25-34,Male,College,Analytical,Science
503,45-54,Female,Graduate school,Reserved,Art
504,18-24,Female,College,Organized,Technology
505,35-44,Female,Graduate school,Reliable,Music
506,65-74,Female,Graduate school,Creative,Sports
507,35-44,Male,College,Reliable,Music
508,65-74,Male,High school,Outgoing,Technology
509,45-54,Male,College,Reserved,Sports
510,25-34,Female,College,Creative,Art
511,65-74,Male,Graduate school,Reserved,Art
512,25-34,Female,High school,Analytical,Technology
513,65-74,Male,College,Creative,Technology
514,18-24,Female,Graduate school,Organized,Sports
515,55-64,Male,College,Reserved,Art
516,18-24,Female,College,Organized,Art
517,45-54,Female,High school,Outgoing,Politics
518,18-24,Female,Graduate school,Outgoing,Technology
519,35-44,Male,High school,Outgoing,Sports
520,75+,Male,College,Organized,Sports
521,25-34,Female,High school,Reliable,Science
522,75+,Female,College,Organized,Technology
523,25-34,Female,Graduate school,Organized,Politics
524,75+,Male,Graduate school,Organized,Science
525,18-24,Female,High school,Outgoing,Technology
526,18-24,Female,Graduate school,Creative,Technology
527,25-34,Female,Graduate school,Reserved,Politics
528,55-64,Male,High school,Reserved,Sports
529,18-24,Male,Graduate school,Analytical,Technology
530,45-54,Female,Graduate school,Outgoing,Music
531,35-44,Male,High school,Analytical,Sports
532,55-64,Female,Graduate school,Creative,Technology
533,45-54,Female,College,Reserved,Science
534,55-64,Female,High school,Creative,Music
535,35-44,Male,College,Outgoing,Technology
536,45-54,Male,Graduate school,Analytical,Technology
537,45-54,Female,Graduate school,Creative,Science
538,65-74,Male,College,Organized,Art
539,25-34,Female,High school,Analytical,Art
540,75+,Male,College,Reliable,Technology
541,45-54,Female,College,Analytical,Art
542,35-44,Male,College,Reserved,Art
543,45-54,Male,College,Creative,Music
544,75+,Male,College,Creative,Art
545,45-54,Female,Graduate school,Creative,Science
546,35-44,Male,College,Reliable,Music
547,65-74,Male,College,Reliable,Politics
548,65-74,Male,Graduate school,Organized,Science
549,45-54,Female,College,Reliable,Science
550,25-34,Male,College,Reliable,Science
551,55-64,Female,College,Creative,Music
552,65-74,Female,College,Analytical,Technology
553,18-24,Male,College,Outgoing,Science
554,65-74,Male,Graduate school,Outgoing,Politics
555,75+,Female,Graduate school,Reserved,Art
556,35-44,Male,High school,Outgoing,Art
557,35-44,Female,Graduate school,Outgoing,Science
558,35-44,Female,College,Outgoing,Sports
559,55-64,Female,College,Reserved,Technology
560,45-54,Male,College,Analytical,Art
561,35-44,Female,High school,Reliable,Science
562,35-44,Male,Graduate school,Analytical,Technology
563,65-74,Male,College,Analytical,Politics
564,25-34,Male,College,Outgoing,Science
565,35-44,Male,College,Analytical,Technology
566,18-24,Male,Graduate school,Analytical,Science
567,75+,Female,College,Reliable,Art
568,35-44,Male,Graduate school,Reserved,Politics
569,35-44,Male,Graduate school,Analytical,Technology
570,25-34,Male,Graduate school,Reserved,Technology
571,35-44,Female,College,Reliable,Art
572,55-64,Male,Graduate school,Reserved,Politics
573,65-74,Male,College,Reserved,Technology
574,55-64,Female,College,Outgoing,Politics
575,45-54,Female,Graduate school,Reserved,Sports
576,35-44,Female,College,Outgoing,Politics
577,65-74,Female,College,Organized,Politics
578,55-64,Male,College,Creative,Art
579,55-64,Female,High school,Reserved,Music
580,35-44,Male,Graduate school,Organized,Music
581,25-34,Female,High school,Organized,Politics
582,18-24,Male,College,Reliable,Music
583,25-34,Female,Graduate school,Outgoing,Sports
584,35-44,Male,College,Outgoing,Music
585,45-54,Female,Graduate school,Analytical,Technology
586,45-54,Female,High school,Creative,Science
587,18-24,Female,Graduate school,Analytical,Music
588,45-54,Male,Graduate school,Reserved,Music
589,65-74,Male,High school,Outgoing,Science
590,18-24,Male,College,Reliable,Technology
591,55-64,Male,College,Creative,Music
592,65-74,Male,College,Creative,Art
593,55-64,Female,College,Reserved,Art
594,55-64,Female,High school,Outgoing,Music
595,35-44,Female,College,Analytical,Technology
596,45-54,Male,High school,Organized,Art
597,25-34,Female,College,Analytical,Music
598,35-44,Female,High school,Reserved,Science
599,35-44,Male,Graduate school,Creative,Science
600,45-54,Male,High school,Creative,Art
