,name,link,sponsoring_researchers,institution,fields_of_research,deadline,
61,Predoctoral Technical Associate,https://bit.ly/3QueA1G,Rahul Bhui and Abdullah Almaatouq,MIT Sloan School of Management,Behavioral and Cognitive Science,Rolling,
62,Pre-Doctoral Fellows,https://bit.ly/3XAkUXV,Amanda Pallais,Harvard University,Labor economics,Rolling,
63,Predoctoral Technical Associates,https://bit.ly/3ioyC0t,"Dr. Matthew Phillips, Andrew Sutherland, Chloe Xie", MIT Sloan School of Management,Accounting; information economics,Rolling,
64,Predoctoral Fellow,https://bit.ly/3YZ2x0j,Jonas Heese, Harvard Business School,"Economics, Accounting, Finance, Corporate Governance",,
65,Predoctoral Fellow,https://bit.ly/3hRYrWX,"<span style=""color: #000000; background-color: #ffffff; text-align: start; letter-spacing: normal;"">Josh Krieger and Kyle Myers</span>",Harvard Business School,"Economics, Innovation and technology",,
66,Predoctoral Fellow,https://bit.ly/3HVK3aR,Bill Kerr, Harvard Business School,Economics,,
67,Predoctoral Fellow,https://bit.ly/3GfmKY1,Ebehi Iyoha,Harvard Business School,Economics,,
68,Predoctoral Fellow,https://bit.ly/3H2Faw2,Ayelet Israeli and Eva Ascarza,Harvard Business School,"Quantitative Marketing, Economics, Data Science, Statistics",,
69,Predoctoral Fellow,https://bit.ly/3GZc0hp,Alex MacKay,Harvard Business School,"Economics, Strategy",,
70,Predoctoral Fellow,https://bit.ly/3OTUugj,Several faculty,Harvard Business School,"Organizational behavior, negotiations, behavioral economics, psychology",,
71,Empirical Research Fellow,https://bit.ly/3s1hrnr,Carola Frydman,Northwestern University (Kellogg School of Management),"Economic history, corporate finance",,
72,Full-Time Research Professional,https://bit.ly/3dau74m,Booth Finance Faculty,"University of Chicago Booth School of Business, Fama-Miller Center for Research in Finance",Financial Economics,,
73,Research Scientist,https://bit.ly/3Wfq6Q9,Researchers:  Viral Acharya and Shan Ge,"Sponsoring  New York University, Stern School of Business, Finance Department",Finance,,
74,Staff Associate (Predoctoral Fellow),https://bit.ly/3VNRpBc,"Researchers: Matthias Breuer, Thomas Bourveau, Sehwa Kim, Wei Cai, Lisa Yao Liu, and others",Sponsoring  Columbia Business School,"Accounting, ESG, Econometrics, Information Economics, Structural Estimation",,
75,Predoctoral Fellows,https://bit.ly/3FqkiMM,"Researchers: Edward Miguel (CEGA Faculty Director), Fernando Hoces de la Guardia (Staff Scientist), and other CEGA staff",Sponsoring  The Center for Effective Global Action (CEGA) at UC Berkeley,"Transparency research, economics, and political science",,
76,Predoctoral Fellow in Economics,https://bit.ly/3YkFzA4,Researchers: Amanda Dahlstrand and Maddalena Ronchi,Sponsoring  University of Zurich,"Microeconomics, development, and labor economics",,
77,Predoctoral Research Fellow,https://bit.ly/3hhjvWv,Researchers: King Center Faculty Affiliates,"Sponsoring  King Center on Global Development, Stanford Graduate School of Business",Issues related to global development,,
78,Research Associate,https://bit.ly/3Fk5OOm,"Dr. Elaine L. Hill, Dr. Meredith Adams (Wake Forest), Dr. Sumedha Gupta (IUPUI), and Dr. Kosali Simon (IU)",Sponsoring Institutions: The Department of Public Health Sciences at the University of Rochester &amp; the National Institute on Drug Abuse (NIDA),The project seeks to characterize the impact of SARS-CoV-2 and associated mitigation efforts on people with opioid use disorder (microeconomics and health economics),,
79,Research Scientist,https://bit.ly/3UFM8Kx,"<span style=""color: #000000; background-color: #ffffff; text-align: start; letter-spacing: normal;"">Toomas Laarits and Robert Richmond</span>","Sponsoring  New York University Stern School of Business, Finance department",Finance and Macroeconomics,,
80,Research Professional,https://bit.ly/3STa9xH,Joshua Gottlieb,Sponsoring  The Becker Friedman Institute for Economics at the University of Chicago,"Health, labor, and urban economics",,
81,Sr. Community Development Research Analyst,https://bit.ly/3Hir2Pn,Community Development team,Federal Reserve Bank of San Francisco ,"Labor market, economic resilience and mobility, workforce, and race-based inequities",,
82,Summer 2023 Research Fellow,https://bit.ly/3F8zdLu,"The People Lab (Faculty Director, Elizabeth Linos)",Harvard Kennedy School,"Projects related to behavioral science, public sector challenges, and governance",,
83,EEG Research Assistant,https://bit.ly/3VSAKMp,"<span style=""background-color: #ffffff; text-align: start; letter-spacing: normal; color: #000000;"">George A. Buzzell</span>"," <span style=""background-color: #ffffff; text-align: start; letter-spacing: normal; color: #000000;"">The Neural Dynamics of Control Laboratory, Florida International University</span>",Behavioral Science,</span>,
84,Study Coordinator/Lab Manager,https://bit.ly/3F2aWqt,"<span style=""background-color: #ffffff; text-align: start; letter-spacing: normal; color: #000000;"">George A. Buzzell</span>"," <span style=""background-color: #ffffff; text-align: start; letter-spacing: normal; color: #000000;"">The Neural Dynamics of Control Laboratory, Florida International University</span>",Behavioral Science,</span>,
85,Empirical Research Fellow,https://bit.ly/3CusVlY,"<span style=""color: #000000; background-color: #ffffff; text-align: start; letter-spacing: normal;"">Eric T. Anderson</span>"," <span style=""color: #000000; background-color: #ffffff; text-align: start; letter-spacing: normal;"">Northwestern University, Kellogg School of Management</span>","Quantitative marketing, pricing strategy, artificial intelligence, retail analytics",,
86,Research Assistant,https://bit.ly/3OTUP2G,Jonathan Gruber, National Bureau of Economic Research,"Health, Applied Microeconomics",,
87,Research Data Analyst Associate,https://bit.ly/3B4GqLz,Charles Manski," Northwestern University, Department of Economics","Economics, Public Heath",,
88,Empirical Research Fellow,https://bit.ly/3ilyU5m,Nicolas Crouzet and Sara Moreira,"Finance Department, Kellogg School of Management, Northwestern University","Macroeconomics, corporate investment, firm dynamics, and innovation",Project Title: Macroeconomics and Firm Dynamics,
89,Research Coordinator,https://bit.ly/3ifhPgf,Katy Milkman and Angela Duckworth,"The Wharton School, University of Pennsylvania",Behavioral Science,,
90,Research Assistant,http://bit.ly/3VDt40r,Nicole Maestas, Department of Health Care Policy at Harvard Medical School,"Labor and health economics, including topics on disability insurance, work capacity and employment, health insurance, health care utilization, and disparities in access to mental health care",,
91,Predoctoral Researcher 1,http://bit.ly/3gQDjjl,Kurt Lavetti,Institutions: The Ohio State University Department of Economics &amp; the National Institute on Minority Health and Health Disparities,"Health economics, minority health disparities, earnings inequality, social aspects of jobs and workplaces, statistics, and econometrics",,
92,Predoctoral Research Assistants,http://bit.ly/3Ua05A9,"Sponsoring Researcher(s): David Seim, Gabriel Zucman, Arizo Karimi, Mårten Palme, Marius Ring","Department of Economics, Stockholm University","Field(s) of research: Public Economics, Inequality, Health economics",,
93,Predoctoral Research Fellow,http://bit.ly/3ENs5ny,Sponsoring Researcher(s): Ingrid Gould Ellen and Kathy O’Regan,"NYU Furman Center, NYU Stern School of Business","Field(s) of research: Land use, real estate development, housing, economics, public policy",,
94,Full Time Research Assistant,http://bit.ly/3GR63D0,Sponsoring Researcher(s): Mathilde Munoz,"University of California, Berkeley","Field(s) of research: Public finance, international trade and applied microeconomics",,
95,Full-Time Predoctoral Research Assistant,http://bit.ly/3GOOXpu,Sponsoring Researcher(s): Sabrina Howell and Simone Lenzu,"New York University, Stern School of Business","Field(s) of research: Applied Microeconomics, Finance, Applied Macroeconomics, Innovation, Productivity, Entrepreneurship, Economic Geography",,
96,Pre-Doctoral Research Assistant,http://bit.ly/3UZHDvt,"Sponsoring Researcher(s): Megan Stevenson, Winnie van Dijk, Aurelie Ouss, John Eric Humphries",The University of Virginia,"Field(s) of research: Microeconomics, law and economics, labor economics, public economics, economics of crime",,
97,Predoctoral Research Assistant,http://bit.ly/3i1ljD8,Sponsoring Researcher(s): Professors Francesco Amodio and Matthieu Chemin, The University of McGill &amp; the Centre interuniversitaire de recherche en analyse,des organisations (CIRANO),"Field(s) of research: Development economics, labor economics, industrial organization",
98,Predoctoral Research Fellows in Economics,http://bit.ly/3GCS57C,"Sponsoring Researcher(s): Rossa O’Keeffe-O’Donovan, Loren Fryxell, Benjamin Tereick"," Global Priorities Institute, University of Oxford","Field(s) of Research: Global Priorities Research, which includes topics in: welfare economics; growth theory; the economics of  climate change and other catastrophic risks; discounting; game theory and mechanism design; forecasting; institutions; political economy",,
99,Research Assistant,https://bit.ly/3TY2kq6,"Sponsoring Researcher(s): Researchers at the Centre for Economics, Policy and History",Queen's Management School at Queen’s University Belfast,Field(s) of research: All areas of economic history,,
100,Predoctoral Fellow,http://bit.ly/3EmNS5d,Sponsoring researcher: Melissa Dell,Harvard University,Development,,
101,Pre-Doctoral Research Associate,http://bit.ly/3TKSjN5,Sponsoring researchers: Karen Lewis and Yao Zeng,"The Wharton School, University of Pennsylvania",Financial economics,,
102,Predoctoral Fellow,https://bit.ly/3EcEbEN,"Xi Chen, Zack Cooper,  Jose-Antonio Espin-Sanchez,  Soheil Ghili, Paul Goldsmith-Pinkham, Cameron LaPoint, Song Ma, <span style=""color: #000000; background-color: #ffffff; text-align: start; letter-spacing: normal;"">Mushfiq Mobarak</span>, Aniko Oery, Rohini Pande, Michael Peters, Philipp Strack,  Kosuke Uetake, Kevin Williams, Kai Hao Yang, Fabrizio Zilibotti, <span style=""color: #000000; background-color: #ffffff; text-align: start; letter-spacing: normal;"">and Seth Zimmerman</span>",Tobin Center and Department of Economics at Yale University,"Applied Microeconomics, Development Economics, Environmental Economics, Economics of Education, Health Economics, Industrial Organization, Labor Economics, Macroeconomics, Public Economics",,
103,Full-Time Research Assistant,http://bit.ly/3O8sK7g,Sponsoring Researcher(s): David Chan,Stanford University ,Applied microeconomics focusing on health care and productivity,,
104,Visiting Research Associate I,http://bit.ly/3Ewp3Fj,"Sponsoring Researcher(s): Rebecca Littman (UIC), Hannah Baron (Brown), Graeme Blair (UCLA), Sandra Ley (CIDE), Andrés Moya (Universidad de los Andes), Elayne Stecher (UCLA), and Lauren Young (UC Davis)","<span style=""background-color: #ffffff; color: #000000;"">University of Illinois Chicago (UIC)</span>",Social &amp; Personality Psychology,,
105,Research Associate,http://bit.ly/3EblZgm,Sponsoring Researcher(s): Taryn Dinkelman,The University of Notre Dame,Development Economics,,
106,Research Professional,http://bit.ly/3UwsNMD,Sponsoring Researcher(s): Anna Costello,The University of Chicago Booth School of Business,Accounting,,
107,Predoctoral Research Associate,http://bit.ly/3tu4HpP,Sponsoring Researcher(s): Winston Dou &amp; Marius Guenzel,"The Rodney L. White Center for Financial Research at Wharton, University of Pennsylvania","Macroeconomics, public finance, investment dynamics, econometrics and behavioral corporate finance",,
108,Research Fellow,https://bit.ly/3WIQvGZ,Sponsoring Researcher(s): Marcella Alsan,Malcolm Wiener Center for Social Policy at Harvard Kennedy School,"Health economics, Inequality",,
109,Pre-doctoral Technical Associate,https://bit.ly/3lNyyXa,"Mert Demirer, Benjamin Vatter",MIT Sloan School of Management,All economics fields,,
110,Predoctoral Research Fellowship,https://bit.ly/3hkU321,Sponsoring Researcher(s): Juan Carlos Suarez Serrato,"Stanford University, Graduate School of Business","Public Economics, Public Finance, Environmental Economics, Business Taxation",,
111,Empirical Research Fellow,https://bit.ly/3SCvACt,William Brady,"Northwestern University, Kellogg School of Management","Computational social science, networks, behavioral economics",,
112,Empirical Research Fellow,https://bit.ly/3fRjkAE,NBER  Ebonya Washington,Columbia University,Political economy; economics of race,,
113,Standard Research Fellow,https://bit.ly/3NLIey9,"Jennifer Aaker, Yu Ding, Szu-chi Huang, Jonathan Levav, Baba Shiv, Zakary Tormala, and Christian Wheeler (Standard Marketing Behavioral Group)",Stanford University Graduate School of Business,Marketing,,
114,Dedicated Research Fellow,https://bit.ly/3NLIey9,"<span style=""background-color: #ffffff; color: #000000;"">Szu-chi Huang and Yu Ding (the DRF will mainly work with these two faculty members)</span>",Stanford University Graduate School of Business,Marketing,,
115,Empirical Research Fellow,https://bit.ly/3FDvDLj,"Nicola Bianchi, Shengmao Cao, Benjamin Friedrich, Ryan Hill, Sara Moreira, Kieu-Trang Nguyen","Northwestern University, Kellogg School of Management","Applied micro, labor economics, industrial organization, organizational economics",,
116,Research Professional,https://bit.ly/3T3YcV4,Stéphane Bonhomme and Kirill Ponomarev,The Becker Friedman Institute for Economics at the University of Chicago,"Big data, econometrics",,
117,Research Professional,https://bit.ly/3fvvzmc,Michael Kremer,Development Innovation Lab at the University of Chicago,Topics at the intersection of development economics and political economy,,
118,Research Professional,https://bit.ly/3UlwDI1,Elisa Rubbo, University of Chicago Booth School of Business,"Macroeconomics, international trade",,
119,Research Professional,https://bit.ly/3sItcze,"Phil Berger, Hans Christensen, Joao Granja, Christian Leuz, Maximilian Muhn",The University of Chicago Booth School of Business,Accounting,,
120,Research Professional,https://bit.ly/3U5Ed9r,Christopher Blattman, The Becker Friedman Institute for Economics at the University of Chicago,"Violence prevention, economics organized crime, topics at the intersection of development economics and political economy",,
121,Predoctoral Fellow,https://bit.ly/3ztm7GF,Ariel Kalil and Susan E. Mayer,Behavioral Insights Lab at the University of Chicago,Young children’s skill development,,
122,Full-Time Research Assistant,https://bit.ly/3NaKGhn,"<span style=""background-color: #ffffff; color: #000000;"">Jason Abaluck and Peter Hull</span>","<span style=""background-color: #ffffff; color: #000000;"">National Bureau of Economic Research</span>",Health Economics,,
123,Predoctoral Fellow,https://bit.ly/3SRg4mk,"Daniel Green, Boris Vallee, others",Harvard Business School,"Finance, asset pricing, banking",,
124,"Full-Time Data Scientist, Economics",https://bit.ly/3CXsDXj,John List,Walmart,"Behavioral Science, Microeconomics, Statistics/Econometrics",,
125,Empirical Research Fellow,https://bit.ly/3SCvACt,Brett Gordon and Anna Tuchman,Northwestern University (Kellogg School of Management),"Applied micro, quantitative marketing",,
126,Research Manager,https://bit.ly/3CQYZTr,Olga Rostapshova,Energy and Environment Lab at the University of Chicago,Environmental policy research,,
127,Project Associate,https://bit.ly/3eXSS7L,Olga Rostapshova,Energy and Environment Lab at the University of Chicago,Environmental policy research,,
128,Pre-Doctoral Technical Associate,https://bit.ly/3MQMwnb,"Tong Liu, Lira Mota, and Kerry Siani", Massachusetts Institute of Technology,"Capital markets, corporate finance, macro-finance, entrepreneurial finance, and micro-econometrics",,
129,Full-Time Predoctoral Fellow,https://stanford.io/3eHHNYo,Andrew Hall,Stanford Graduate School of Business,Political Economy,,
130,Pre-doctoral Research Fellow,https://bit.ly/3SD4gE9,Professor Tobias Salz,Massachusetts Institute of Technology (MIT),Economics,,
131,Predoctoral Corporate Governance Fellows/Associates,https://bit.ly/3VKmlCQ,"Lucian A. Bebchuk, Program on Corporate Governance",Harvard Law School,"Corporate Governance, Law, Business, Finance, Public Policy",,
132,Predoctoral Research Fellow,https://stanford.io/3eHHNYo,Ron Kasznik &amp; Maureen McNichols,Stanford Graduate School of Business,"Project Title: Studies in Corporate Reporting, Auditing, and Investment",Fields of Research: Financial Accounting,
133,Pre-doc fellow in Economics,https://bit.ly/3sLI8wK,Professor Robert Metcalfe,University of Southern California,"Microeconomics, Public Policy",,
134,Research Analyst,https://bit.ly/3MErjNj,"Gilles Duranton, Joe Gyourko, Todd Sinai, Fernando Ferreira, Ben Keys, Maisy Wong, Jessie Handbury, Nina Harari, Sophie Calder-Wang",,Institution: <em>The Wharton School at the University of Pennsylvania (The Samuel Zell and Robert Lurie Real Estate Center),"Fields of Research: Applied micro, spatial, urban and regional economics, housing and real estate economics, household finance, industrial organization, development, public economics",
